Geneid,Chr,Start,End,Strand,Length
YNL188W,XIV,286308,287609,+,1302
YNL146W,XIV,351715,352017,+,303
YNL228W,XIV,220645,221421,+,777
YNL211C,XIV,250055,250315,-,261
YNR021W,XIV,668377,669591,+,1215
YNL201C,XIV,260627,263203,-,2577
YNR033W,XIV,687635,689998,+,2364
YNR034W,XIV,690321,691286,+,966
YNL272C,XIV,126805,129084,-,2280
YNL245C,XIV,186346,186885,-,540
YNR074C,XIV,777602,778738,-,1137
YNL123W,XIV,394685,397678,+,2994
YNR016C,XIV,654673,661374,-,6702
YNL223W,XIV,227370,228854,+,1485
YNR032C-A,XIV,687243,687464,-,222
YNL133C,XIV,374171,374692,-,522
YNL178W,XIV,302680,303402,+,723
YNL065W,XIV,503724,505484,+,1761
YNR043W,XIV,701895,703085,+,1191
YNL021W,XIV,593227,595347,+,2121
YNL124W,XIV,392892,394370,+,1479
YNL312W,XIV,48287,49216,+,930
YNL143C,XIV,356794,357186,-,393
YNL251C,XIV,172588,174315,-,1728
snR40,XIV,89210,89306,+,97
YNL299W,XIV,66517,68445,+,1929
snR19,XIV,230105,230672,-,568
YNR049C,XIV,713023,713655,-,633
YNL163C,XIV,326741,330073,-,3333
YNR073C,XIV,774792,776300,-,1509
YNL127W,XIV,383987,386848,+,2862
YNL118C,XIV,402652,405564,-,2913
tT(AGU)N2,XIV,560693,560765,-,73
YNL189W,XIV,284260,285888,+,1629
YNL290W,XIV,86218,87240,+,1023
YNR025C,XIV,672702,673061,-,360
YNL250W,XIV,175410,179348,+,3939
YNL314W,XIV,44447,45214,+,768
YNL227C,XIV,220659,222431,-,1773
YNL218W,XIV,238238,240001,+,1764
YNL004W,XIV,622915,624621,+,1707
YNR023W,XIV,670418,672118,+,1701
YNL092W,XIV,450871,452073,+,1203
YNL324W,XIV,31050,31445,+,396
YNL233W,XIV,211922,214600,+,2679
YNL155W,XIV,342516,343340,+,825
YNL020C,XIV,595623,597539,-,1917
YNL076W,XIV,483556,485310,+,1755
YNL200C,XIV,263713,264453,-,741
YNL177C,XIV,303686,304615,-,930
YNL077W,XIV,481391,482977,+,1587
YNL293W,XIV,80640,82541,+,1902
YNL098C,XIV,439602,440570,-,969
YNR004W,XIV,635943,636383,+,441
YNL049C,XIV,535281,537911,-,2631
YNR019W,XIV,665339,667267,+,1929
YNL031C,XIV,575640,576050,-,411
YNL019C,XIV,598376,599230,-,855
YNL214W,XIV,245617,246216,+,600
YNL006W,XIV,620067,620978,+,912
YNR030W,XIV,678799,680454,+,1656
YNL038W,XIV,557020,557783,+,764
YNL090W,XIV,456565,457143,+,579
YNL151C,XIV,347766,348521,-,756
YNL254C,XIV,168043,169248,-,1206
YNR008W,XIV,640396,642381,+,1986
YNR038W,XIV,695595,697484,+,1890
YNR003W-A,XIV,634420,634518,+,99
YNL307C,XIV,56446,57573,-,1128
YNL131W,XIV,378767,379225,+,459
YNL265C,XIV,144280,145281,-,1002
YNL175C,XIV,307401,308612,-,1212
YNL042W,XIV,548100,549290,+,1191
YNL022C,XIV,591427,592899,-,1473
YNL056W,XIV,517249,517842,+,594
YNL011C,XIV,611836,613170,-,1335
YNL329C,XIV,19541,22633,-,3093
YNL074C,XIV,486766,488124,-,1359
YNL093W,XIV,449868,450530,+,663
YNR047W,XIV,708523,711204,+,2682
YNL183C,XIV,293137,295509,-,2373
YNL057W,XIV,516403,516735,+,333
YNL238W,XIV,202428,204872,+,2445
YNL154C,XIV,343636,345276,-,1641
YNL267W,XIV,140878,144078,+,3201
tP(UGG)N2,XIV,568115,568217,+,103
YNL014W,XIV,606319,609453,+,3135
NME1,XIV,585587,585926,+,340
YNL078W,XIV,479768,480991,+,1224
YNL209W,XIV,252059,253900,+,1842
YNL253W,XIV,170018,171286,+,1269
YNL173C,XIV,308957,310057,-,1101
YNL066W,XIV,501515,502777,+,1263
YNL321W,XIV,34696,37422,+,2727
YNR054C,XIV,723356,724306,-,951
YNR072W,XIV,772657,774351,+,1695
YNR076W,XIV,781918,782280,+,363
YNR031C,XIV,680694,685433,-,4740
YNL110C,XIV,417826,418488,-,663
YNL232W,XIV,214923,215801,+,879
YNL262W,XIV,148212,154880,+,6669
YNL142W,XIV,357453,358952,+,1500
YNL129W,XIV,381480,382202,+,723
YNR014W,XIV,652465,653103,+,639
YNL005C,XIV,621313,622428,-,1116
YNL174W,XIV,308074,308646,+,573
YNL335W,XIV,11452,12129,+,678
YNL240C,XIV,198502,199977,-,1476
YNL318C,XIV,38707,40329,-,1623
YNL256W,XIV,164623,167097,+,2475
YNL012W,XIV,609686,611665,+,1980
YNR029C,XIV,677199,678488,-,1290
YNL130C-A,XIV,381245,381391,-,147
YNL107W,XIV,420098,420778,+,681
YNR065C,XIV,750350,753700,-,3351
YNL332W,XIV,14832,15854,+,1023
YNL023C,XIV,588263,591160,-,2898
YNR056C,XIV,731618,733303,-,1686
YNL186W,XIV,289498,291876,+,2379
YNL153C,XIV,345669,346058,-,390
YNL130C,XIV,379558,380831,-,1274
YNL088W,XIV,457704,461990,+,4287
YNL216W,XIV,241689,244172,+,2484
YNL276C,XIV,118431,118826,-,396
YNL108C,XIV,419014,419826,-,813
YNL252C,XIV,171441,172286,-,846
YNL181W,XIV,298335,299558,+,1224
YNL197C,XIV,267608,269593,-,1986
YNL064C,XIV,505868,507097,-,1230
YNL202W,XIV,259578,260456,+,879
YNL283C,XIV,105184,106695,-,1512
YNL147W,XIV,350940,351383,+,444
YNL286W,XIV,95223,96080,+,858
YNL337W,XIV,7165,7419,+,255
YNL322C,XIV,33294,34235,-,942
YNL158W,XIV,339612,340208,+,597
YNL168C,XIV,318030,318809,-,780
YNL259C,XIV,157644,157865,-,222
YNR022C,XIV,669774,670193,-,420
YNR077C,XIV,783287,783541,-,255
YNL068C,XIV,495701,498289,-,2589
tI(AAU)N2,XIV,602312,602385,+,74
YNL037C,XIV,557920,559002,-,1083
YNL085W,XIV,467131,469623,+,2493
YNL051W,XIV,532659,533870,+,1212
YNL148C,XIV,349907,350671,-,765
YNR075C-A,XIV,781511,781603,-,93
YNL255C,XIV,167329,167790,-,462
YNL070W,XIV,493366,493548,+,183
tD(GUC)N,XIV,519099,519169,-,71
tT(AGU)N1,XIV,104805,104877,+,73
YNL271C,XIV,129522,135383,-,5862
YNL198C,XIV,266514,266816,-,303
YNR018W,XIV,664270,664944,+,675
YNL327W,XIV,24048,27173,+,3126
YNL236W,XIV,206930,209854,+,2925
YNR001W-A,XIV,631263,631481,+,219
YNL053W,XIV,529942,531411,+,1470
YNL281W,XIV,108467,108928,+,462
YNL279W,XIV,110917,112902,+,1986
YNL156C,XIV,341069,341968,-,900
YNL260C,XIV,156859,157455,-,597
YNL222W,XIV,229094,229714,+,621
YNL235C,XIV,209548,209979,-,432
YNR059W,XIV,736803,738545,+,1743
YNR044W,XIV,703699,705876,+,2178
YNL225C,XIV,222724,224469,-,1746
YNL215W,XIV,244468,245430,+,963
YNL326C,XIV,27337,28347,-,1011
YNL100W,XIV,437613,438317,+,705
YNR009W,XIV,642690,643439,+,750
YNR066C,XIV,753725,755035,-,1311
YNL339W-A,XIV,1517,2092,+,576
snR66,XIV,586090,586175,+,86
YNL266W,XIV,144245,144664,+,420
YNL292W,XIV,82806,84017,+,1212
YNL242W,XIV,191324,196102,+,4779
YNR057C,XIV,733356,734069,-,714
tG(UCC)N,XIV,96241,96312,-,72
YNL067W-B,XIV,499417,499557,+,141
YNL166C,XIV,322219,323565,-,1347
YNL111C,XIV,416940,417302,-,363
YNL069C,XIV,493956,495001,-,1046
YNL277W-A,XIV,116679,116867,+,189
YNL128W,XIV,382359,383663,+,1305
YNL300W,XIV,65744,66052,+,309
YNL179C,XIV,300666,301103,-,438
YNR050C,XIV,714048,715388,-,1341
snR49,XIV,716120,716284,+,165
YNL138W,XIV,366741,368321,+,1581
YNR048W,XIV,711630,712811,+,1182
YNL302C,XIV,61958,62943,-,986
YNL045W,XIV,542963,544978,+,2016
YNL125C,XIV,390146,392167,-,2022
YNL207W,XIV,255353,256630,+,1278
YNR011C,XIV,644320,646950,-,2631
YNL241C,XIV,196426,197943,-,1518
YNL112W,XIV,413639,416281,+,2643
YNL249C,XIV,179394,181022,-,1629
YNL270C,XIV,135940,137661,-,1722
YNL115C,XIV,410119,412053,-,1935
YNL073W,XIV,488386,490116,+,1731
YNL082W,XIV,473391,476012,+,2622
YNL097C-B,XIV,440797,440919,-,123
YNR034W-A,XIV,692561,692857,+,297
YNL296W,XIV,76273,76587,+,315
YNL138W-A,XIV,366033,366412,+,380
YNL196C,XIV,270275,271171,-,897
YNL109W,XIV,418964,419509,+,546
YNL101W,XIV,434999,437140,+,2142
YNR012W,XIV,647432,648937,+,1506
YNL114C,XIV,412684,413055,-,372
YNL237W,XIV,205188,206567,+,1380
YNL084C,XIV,470053,471102,-,1050
YNL289W,XIV,87897,88736,+,840
YNL171C,XIV,315629,315997,-,369
YNL208W,XIV,254418,255017,+,600
YNL010W,XIV,613635,614360,+,726
YNL134C,XIV,372451,373581,-,1131
YNR053C,XIV,721120,723112,-,1993
tP(AGG)N,XIV,631846,631917,-,72
YNL231C,XIV,215987,217042,-,1056
YNL230C,XIV,217523,218662,-,1140
YNL339W-B,XIV,734,1216,+,483
YNL258C,XIV,158109,160373,-,2265
YNL328C,XIV,22834,23274,-,441
YNL081C,XIV,476188,476619,-,432
YNR037C,XIV,695052,695327,-,276
YNR063W,XIV,746943,748766,+,1824
YNL339C,XIV,371,6098,-,5728
YNR060W,XIV,739951,742110,+,2160
YNL287W,XIV,91994,94801,+,2808
YNL095C,XIV,444912,446840,-,1929
YNL096C,XIV,443398,444315,-,918
YNL282W,XIV,107687,108274,+,588
YNL047C,XIV,539911,541881,-,1971
YNL139C,XIV,360924,365717,-,4794
tP(UGG)N1,XIV,547094,547196,+,103
YNL298W,XIV,68915,71443,+,2529
YNL113W,XIV,412771,413199,+,429
YNR003C,XIV,634344,635297,-,954
YNL316C,XIV,42071,43075,-,1005
YNL016W,XIV,602907,604268,+,1362
YNL330C,XIV,18001,19302,-,1302
YNR010W,XIV,643744,644193,+,450
YNL172W,XIV,310636,315882,+,5247
YNL132W,XIV,375321,378491,+,3171
YNR027W,XIV,674923,675876,+,954
YNL083W,XIV,471377,472861,+,1485
YNL013C,XIV,609133,609510,-,378
YNL164C,XIV,325265,326320,-,1056
YNL274C,XIV,121118,122170,-,1053
YNL176C,XIV,305070,306980,-,1911
YNR061C,XIV,742881,743540,-,660
YNL303W,XIV,61510,61857,+,348
YNR035C,XIV,693019,694047,-,1029
YNL160W,XIV,336545,337609,+,1065
YNR024W,XIV,672409,672969,+,561
YNL024C,XIV,587107,587847,-,741
YNL018C,XIV,599936,601774,-,1839
YNL033W,XIV,572999,573853,+,855
YNL141W,XIV,359596,360639,+,1044
YNL320W,XIV,37700,38554,+,855
YNL204C,XIV,258375,259277,-,903
YNL106C,XIV,420944,424495,-,3552
YNL338W,XIV,6561,6719,+,159
YNL161W,XIV,332597,334867,+,2271
YNL247W,XIV,182875,185178,+,2304
YNL285W,XIV,96173,96544,+,372
YNL062C,XIV,508776,510212,-,1437
YNL325C,XIV,28739,31378,-,2640
YNL046W,XIV,542304,542822,+,519
YNL032W,XIV,574506,575351,+,846
YNL135C,XIV,371882,372226,-,345
YNL212W,XIV,247461,249809,+,2349
YNL243W,XIV,188051,190957,+,2907
YNL103W,XIV,427735,429753,+,2019
YNL144W-A,XIV,353061,353144,+,84
YNL333W,XIV,13267,14163,+,897
YNL027W,XIV,579580,581616,+,2037
YNL278W,XIV,113271,116453,+,3183
YNL144C,XIV,352820,355042,-,2223
YNL159C,XIV,338478,339347,-,870
YNL220W,XIV,234413,235714,+,1302
YNL184C,XIV,292557,292883,-,327
YNL336W,XIV,8330,9475,+,1146
YNL264C,XIV,145563,146615,-,1053
YNL136W,XIV,370368,371645,+,1278
YNL185C,XIV,292193,292669,-,477
YNL219C,XIV,235996,237663,-,1668
YNL079C,XIV,478566,479165,-,600
YNL244C,XIV,187170,187496,-,327
YNL054W-B,XIV,519456,524706,+,5251
YNL284C-B,XIV,96964,102232,-,5269
YNL284C-A,XIV,100910,102232,-,1323
YNL054W-A,XIV,519456,520778,+,1323
YOR185C,XV,681444,682106,-,663
YOR237W,XV,781994,783298,+,1305
YOL048C,XV,240204,241310,-,1107
tG(GCC)O1,XV,226611,226681,-,71
YOL144W,XV,53098,54552,+,1455
snR8,XV,832332,832521,+,190
YOR082C,XV,479296,479637,-,342
YOL072W,XV,194970,196337,+,1368
YOR114W,XV,537570,538454,+,885
YOL085C,XV,161673,162014,-,342
YOR385W,XV,1065043,1065915,+,873
YOR214C,XV,745593,746303,-,711
YOL119C,XV,94856,96361,-,1506
YOR019W,XV,368127,370319,+,2193
YOR206W,XV,727512,729644,+,2133
YOR345C,XV,981812,982162,-,351
YOR341W,XV,960987,965981,+,4995
YOL088C,XV,153912,154745,-,834
YOR392W,XV,1079282,1079725,+,444
YOR160W,XV,633839,636757,+,2919
YOR084W,XV,480587,481750,+,1164
YOR039W,XV,405768,406544,+,777
YOR264W,XV,818866,820158,+,1293
YOR281C,XV,846269,847129,-,861
tK(UUU)O,XV,438643,438738,+,96
YOR230W,XV,770800,772113,+,1314
YOR144C,XV,602717,605092,-,2376
YOL081W,XV,171070,180309,+,9240
YOL052C,XV,232446,233636,-,1191
YOR285W,XV,849635,850054,+,420
YOR058C,XV,433688,436345,-,2658
YOR270C,XV,828052,830574,-,2523
YOL154W,XV,34658,35407,+,750
YOR115C,XV,538659,539465,-,807
YOL003C,XV,321858,322994,-,1137
YOR258W,XV,811671,812324,+,654
tN(GUU)O2,XV,487439,487512,+,74
YOL103W,XV,124001,125830,+,1830
YOR215C,XV,746725,747282,-,558
YOL095C,XV,139227,141347,-,2121
YOL063C,XV,207392,210265,-,2874
YOL079W,XV,181057,181455,+,399
YOR389W,XV,1074213,1076087,+,1875
YOR231W,XV,772601,774127,+,1527
YOR021C,XV,372798,373439,-,642
YOR139C,XV,586950,587342,-,393
YOR120W,XV,551114,552052,+,939
YOL038W,XV,255337,256101,+,765
YOR023C,XV,376012,377712,-,1701
YOL124C,XV,85456,86757,-,1302
YOR212W,XV,742910,744181,+,1272
YOL013W-A,XV,301047,301238,+,192
YOL120C,XV,93395,94402,-,1008
YOR181W,XV,675939,677840,+,1902
YOR333C,XV,944541,944957,-,417
YOR335C,XV,946233,949109,-,2877
YOL046C,XV,243466,244140,-,675
YOL029C,XV,269815,270420,-,606
YOL155W-A,XV,27084,27218,+,135
YOR072W,XV,461502,461816,+,315
YOL161C,XV,11549,11911,-,363
snR58,XV,136088,136183,-,96
YOL122C,XV,89692,91419,-,1728
YOR252W,XV,803667,804203,+,537
YOR157C,XV,630966,631751,-,786
YOL107W,XV,112102,113130,+,1029
YOR274W,XV,837674,838960,+,1287
YOL013W-B,XV,300690,300980,+,291
YOR343C,XV,968148,968474,-,327
YOR093C,XV,497506,502452,-,4947
YOR381W-A,XV,1058423,1058590,+,168
YOL065C,XV,204731,205885,-,1155
YOR092W,XV,495127,496968,+,1842
YOR207C,XV,730008,733457,-,3450
YOR365C,XV,1023461,1025572,-,2112
YOL005C,XV,315813,316175,-,363
YOL020W,XV,286172,287950,+,1779
YOL053W,XV,230085,231272,+,1188
YOL117W,XV,97551,99488,+,1938
YOR038C,XV,402761,405388,-,2628
YOR303W,XV,882899,884134,+,1236
YOR137C,XV,581813,583681,-,1869
YOL034W,XV,259923,263204,+,3282
YOR052C,XV,426772,427224,-,453
YOR190W,XV,690695,692032,+,1338
YOL039W,XV,254297,254617,+,321
YOR349W,XV,989789,992833,+,3045
YOL090W,XV,147382,150276,+,2895
YOR271C,XV,831059,832042,-,984
YOR173W,XV,657264,658325,+,1062
YOR106W,XV,519121,519972,+,852
YOR108W,XV,523027,524841,+,1815
YOR059C,XV,438906,440258,-,1353
YOL149W,XV,44938,45633,+,696
YOR121C,XV,551798,552103,-,306
YOL106W,XV,113226,113579,+,354
snR9,XV,407948,408134,-,187
YOR295W,XV,869208,869894,+,687
YOR203W,XV,722565,722918,+,354
YOR132W,XV,573175,574830,+,1656
YOR216C,XV,747525,748979,-,1455
YOR099W,XV,511825,513006,+,1182
YOR001W,XV,326832,329033,+,2202
YOR009W,XV,344335,345798,+,1464
YOR204W,XV,722911,724725,+,1815
YOR209C,XV,736437,737726,-,1290
YOR284W,XV,848478,849209,+,732
YOR036W,XV,400348,401214,+,867
YOR154W,XV,624729,626492,+,1764
YOR048C,XV,418630,421650,-,3021
YOL073C,XV,193832,194800,-,969
YOL152W,XV,40748,42610,+,1863
YOL101C,XV,126982,127920,-,939
YOR085W,XV,482033,483085,+,1053
YOR227W,XV,762825,766565,+,3741
YOR159C,XV,633282,633566,-,285
YOR146W,XV,605873,606178,+,306
YOR372C,XV,1034807,1036471,-,1665
YOR112W,XV,531508,533793,+,2286
YOR387C,XV,1069621,1070241,-,621
YOR229W,XV,768409,769812,+,1404
YOR068C,XV,453869,454213,-,345
YOR376W-A,XV,1045196,1045351,+,156
YOL050C,XV,237882,238202,-,321
YOR342C,XV,966666,967625,-,960
YOL035C,XV,258803,259105,-,303
YOR251C,XV,802550,803464,-,915
YOR041C,XV,408358,408789,-,432
YOR130C,XV,569929,570807,-,879
YOR119C,XV,548792,550246,-,1455
YOL166C,XV,1000,1338,-,339
YOR008C,XV,341278,342414,-,1137
YOL011W,XV,305349,307409,+,2061
YOR248W,XV,798013,798315,+,303
YOR202W,XV,721946,722608,+,663
YOR266W,XV,821023,822294,+,1272
YOR140W,XV,586981,589281,+,2301
YOR004W,XV,333592,334356,+,765
YOR308C,XV,894624,896387,-,1764
YOR032C,XV,389771,391075,-,1305
YOR311C,XV,899056,899928,-,873
YOL019W,XV,288898,290553,+,1656
YOL138C,XV,61325,65350,-,4026
YOL151W,XV,43694,44722,+,1029
YOR330C,XV,939621,943385,-,3765
YOR379C,XV,1050726,1051064,-,339
YOR142W,XV,593057,594046,+,990
YOR268C,XV,825534,825932,-,399
snR81,XV,234346,234546,+,201
YOR017W,XV,361412,363814,+,2403
YOR394W,XV,1082718,1083212,+,495
YOL134C,XV,70156,70545,-,390
YOR002W,XV,329417,331051,+,1635
YOR194C,XV,711683,712543,-,861
YOR298C-A,XV,877230,877685,-,456
YOL069W,XV,198942,200297,+,1356
YOR014W,XV,357674,359947,+,2274
YOR346W,XV,981828,984785,+,2958
YOR044W,XV,413007,413480,+,474
YOR275C,XV,839084,841069,-,1986
YOR174W,XV,658747,659601,+,855
YOR336W,XV,949773,953870,+,4098
YOL094C,XV,141584,142555,-,972
YOR122C,XV,552298,552887,-,590
YOR256C,XV,808254,810683,-,2430
YOL137W,XV,65621,67114,+,1494
YOR350C,XV,992864,994855,-,1992
YOR196C,XV,715593,716837,-,1245
YOR380W,XV,1051290,1052930,+,1641
YOR314W-A,XV,904458,904568,+,111
tA(UGC)O,XV,854187,854259,-,73
YOL097W-A,XV,136220,136405,+,186
YOR376W,XV,1043191,1043559,+,369
YOR369C,XV,1028194,1028625,-,432
YOL132W,XV,71300,72715,+,1416
YOR296W,XV,870202,874071,+,3870
YOR260W,XV,813984,815720,+,1737
YOR373W,XV,1036834,1039389,+,2556
YOR163W,XV,642741,643307,+,567
YOR029W,XV,384600,384935,+,336
YOL042W,XV,249825,250916,+,1092
YOR316C,XV,906236,907555,-,1320
YOR326W,XV,925721,930445,+,4725
YOR293C-A,XV,867998,868147,-,150
YOL036W,XV,256745,259030,+,2286
YOR072W-B,XV,464469,464630,+,162
YOR332W,XV,943656,944357,+,702
YOL002C,XV,323411,324364,-,954
YOR193W,XV,710446,711576,+,1131
YOR243C,XV,790211,792241,-,2031
YOR126C,XV,559961,560677,-,717
YOR070C,XV,455907,457820,-,1914
YOR328W,XV,931803,936497,+,4695
YOL056W,XV,223268,224179,+,912
YOR098C,XV,507948,511178,-,3231
YOL110W,XV,109176,109889,+,714
YOR213C,XV,744535,745281,-,747
YOR253W,XV,804377,804907,+,531
YOR008C-A,XV,342857,343081,-,225
YOL113W,XV,104326,106293,+,1968
YOR060C,XV,440390,441163,-,774
YOL076W,XV,187024,189414,+,2391
YOR186C-A,XV,683329,683538,-,210
YOR381W,XV,1055545,1057680,+,2136
YOR113W,XV,534075,536819,+,2745
YOR273C,XV,834452,836431,-,1980
tN(GUU)O1,XV,228331,228404,+,74
YOR161W-A,XV,637574,637654,+,81
YOL147C,XV,47933,48643,-,711
YOR338W,XV,956898,957989,+,1092
YOR178C,XV,667860,670241,-,2382
YOR188W,XV,685767,689180,+,3414
YOL159C,XV,17281,17796,-,516
YOR382W,XV,1059531,1059992,+,462
YOL071W,XV,196507,196995,+,489
YOR363C,XV,1020222,1023212,-,2991
YOR069W,XV,453768,455795,+,2028
YOR075W,XV,468212,469252,+,1041
YOR124C,XV,554824,558642,-,3819
YOR008W-B,XV,343929,344030,+,102
snR31,XV,841958,842182,-,225
YOL025W,XV,274957,276939,+,1983
YOR057W,XV,432186,433373,+,1188
YOR265W,XV,820454,820774,+,321
YOL127W,XV,80348,81190,+,843
YOR107W,XV,521353,522282,+,930
YOL142W,XV,55558,56280,+,723
YOR239W,XV,784857,786744,+,1888
YOL091W,XV,145334,147163,+,1830
YOR317W,XV,909343,911445,+,2103
YOR370C,XV,1029183,1030994,-,1812
tM(CAU)O1,XV,710201,710272,+,72
YOR211C,XV,738924,741569,-,2646
YOR191W,XV,692475,697334,+,4860
YOL064C,XV,206103,207176,-,1074
tT(AGU)O1,XV,113802,113874,+,73
YOL049W,XV,238619,240094,+,1476
YOL043C,XV,248392,249534,-,1143
YOR043W,XV,410870,412330,+,1461
YOR331C,XV,943565,944122,-,558
YOR309C,XV,896698,897078,-,381
YOR104W,XV,517642,518490,+,849
YOL114C,XV,103317,103925,-,609
YOR300W,XV,880575,880883,+,309
YOR220W,XV,755328,756125,+,798
YOR378W,XV,1049511,1051058,+,1548
YOL059W,XV,217126,218448,+,1323
YOR386W,XV,1066839,1068536,+,1698
YOL027C,XV,272003,273724,-,1722
snR62,XV,409765,409864,-,100
snR17a,XV,780107,780596,+,490
YOL155C,XV,28703,31606,-,2904
YOR375C,XV,1041678,1043042,-,1365
snR35,XV,759326,759529,-,204
YOR100C,XV,513295,514278,-,984
YOL026C,XV,274012,274353,-,342
YOL012C,XV,303579,303983,-,405
YOR026W,XV,379781,380806,+,1026
YOR359W,XV,1011189,1012760,+,1572
YOR250C,XV,800970,802307,-,1338
YOL013C,XV,301380,303035,-,1656
YOR272W,XV,832813,834195,+,1383
tG(GCC)O2,XV,282164,282234,+,71
YOL164W-A,XV,4130,4312,+,183
YOL082W,XV,168727,169974,+,1248
snR36,XV,680685,680866,-,182
YOR035C,XV,397735,400104,-,2370
YOL016C,XV,294777,296120,-,1344
YOR007C,XV,338938,339978,-,1041
YOR325W,XV,924577,925050,+,474
YOL085W-A,XV,161579,161791,+,213
YOL160W,XV,14313,14654,+,342
YOR361C,XV,1015361,1017652,-,2292
YOL158C,XV,19491,21311,-,1821
YOR315W,XV,904760,905800,+,1041
YOR010C,XV,346195,346950,-,756
YOR384W,XV,1061564,1063648,+,2085
YOR234C,XV,778555,779405,-,851
YOR283W,XV,847453,848145,+,693
YOR020W-A,XV,371685,371957,+,273
YOL045W,XV,243497,246802,+,3306
YOR102W,XV,516423,516773,+,351
YOL128C,XV,78352,79479,-,1128
YOR360C,XV,1013241,1014821,-,1581
YOL097C,XV,136527,137825,-,1299
YOR164C,XV,643394,644332,-,939
YOR175C,XV,659815,661674,-,1860
tP(UGG)O1,XV,301097,301198,+,102
YOR086C,XV,483219,486779,-,3561
YOR242C,XV,788742,789857,-,1116
YOR155C,XV,626628,627980,-,1353
YOL019W-A,XV,288420,288572,+,153
YOL030W,XV,268187,269641,+,1455
YOR323C,XV,921535,922905,-,1371
YOL017W,XV,292529,294673,+,2145
YOR233W,XV,775846,778248,+,2403
YOL037C,XV,256666,257019,-,354
YOR083W,XV,479533,480420,+,888
YOL010W,XV,307938,309041,+,1104
YOR118W,XV,546857,548560,+,1704
YOR128C,XV,564476,566191,-,1716
YOL125W,XV,83834,85264,+,1431
YOL004W,XV,316938,321548,+,4611
YOR177C,XV,665785,667179,-,1395
YOR166C,XV,647126,648502,-,1377
YOR006C,XV,337680,338621,-,942
YOR324C,XV,923232,925040,-,1809
YOL024W,XV,277086,277604,+,519
YOR033C,XV,392416,394524,-,2109
YOL033W,XV,263475,265085,+,1611
YOL070C,XV,197220,198725,-,1506
YOR116C,XV,539763,544145,-,4383
YOL067C,XV,201985,202518,-,534
YOR145C,XV,605347,606171,-,825
YOR304C-A,XV,888520,888750,-,231
YOR192C,XV,698768,700567,-,1800
YOL109W,XV,110297,110638,+,342
YOR078W,XV,472725,473369,+,645
YOR134W,XV,578564,579793,+,1230
YOR131C,XV,572182,572838,-,657
YOR368W,XV,1026843,1028048,+,1206
YOL111C,XV,108258,108896,-,639
YOR168W,XV,649303,651732,+,2430
YOR226C,XV,761614,762084,-,471
YOL162W,XV,10119,10766,+,648
YOR334W,XV,944596,946008,+,1413
YOR241W,XV,786995,788641,+,1647
tP(UGG)O2,XV,464450,464551,+,102
YOR245C,XV,794076,795332,-,1257
YOL009C,XV,309324,310139,-,816
YOR153W,XV,619840,624375,+,4536
YOR358W,XV,1010161,1010889,+,729
YOR335W-A,XV,946568,946648,+,81
YOR170W,XV,651858,652163,+,306
YOR267C,XV,822588,824867,-,2280
YOR081C,XV,476939,479188,-,2250
YOL145C,XV,49555,52788,-,3234
YOL156W,XV,25273,26976,+,1704
YOR322C,XV,918606,921062,-,2457
YOL044W,XV,247150,248301,+,1152
YOR054C,XV,427833,429857,-,2025
YOL031C,XV,266264,267529,-,1266
YOR034C-A,XV,397426,397668,-,243
YOR306C,XV,889867,891432,-,1566
YOR261C,XV,815915,816931,-,1017
YOR293W,XV,867098,867852,+,755
YOR062C,XV,442725,443531,-,807
YOR339C,XV,958362,958832,-,471
YOR067C,XV,451729,453462,-,1734
YOR312C,XV,900250,900767,-,518
YOR094W,XV,502795,503346,+,552
YOL135C,XV,69376,70044,-,669
YOL105C,XV,114138,115808,-,1671
YOR329W-A,XV,939348,939557,+,210
YOR197W,XV,717086,718384,+,1299
YOL104C,XV,116396,117454,-,1059
YOR262W,XV,817292,818335,+,1044
YOR167C,XV,648804,649007,-,204
YOL015W,XV,297078,298838,+,1761
YOR161C,XV,636939,638558,-,1620
YOR393W,XV,1080276,1081589,+,1314
YOR105W,XV,518195,518521,+,327
YOR210W,XV,738320,738532,+,213
YOR364W,XV,1023371,1023739,+,369
YOL087C,XV,155287,158637,-,3351
YOR127W,XV,561170,564193,+,3024
YOR184W,XV,679357,680544,+,1188
YOR150W,XV,611999,612490,+,492
YOR179C,XV,671845,672411,-,567
YOR340C,XV,959202,960182,-,981
YOR354C,XV,1001147,1003225,-,2079
YOR217W,XV,749301,751886,+,2586
YOR298W,XV,875599,877038,+,1440
YOL006C,XV,313078,315387,-,2310
YOR259C,XV,812395,813708,-,1314
YOR318C,XV,911784,912436,-,653
YOR320C,XV,913619,915094,-,1476
YOR222W,XV,758330,759253,+,924
YOL165C,XV,1647,2078,-,432
YOL007C,XV,311342,312367,-,1026
YOR307C,XV,892731,894092,-,1362
YOL051W,XV,234940,238185,+,3246
YOR091W,XV,493433,494470,+,1038
YOR079C,XV,473475,474416,-,942
YOL022C,XV,280272,281498,-,1227
YOR278W,XV,842817,843644,+,828
YOR024W,XV,377847,378170,+,324
YOL148C,XV,45760,47574,-,1815
YOL078W,XV,181682,185212,+,3531
tP(UGG)O3,XV,980683,980787,+,105
YOR089C,XV,490196,490828,-,633
YOL098C,XV,132725,135838,-,3114
YOR171C,XV,652010,653884,-,1875
YOL089C,XV,150398,153490,-,3093
